Farm size (litres),Region,Solids profile,Seasonality,Price option,Months,Fat,Protein
"2,000,000 to 2,500,000",Gippsland,Low,Average,Minimum,Dec,3.8665,3.1255
"2,500,000 to 3,000,000",Gippsland,Low,Average,Minimum,Dec,3.8665,3.1255
"3,000,000 to 4,000,000",Gippsland,Low,Average,Minimum,Dec,3.8665,3.1255
"4,000,000 to 5,000,000",Gippsland,Low,Average,Minimum,Dec,3.8665,3.1255
"5,000,000 to 10,000,000",Gippsland,Low,Average,Minimum,Dec,3.8665,3.1255
"500,000 to 750,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"750,000 to 1,000,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"1,000,000 to 1,500,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"1,500,000 to 2,000,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"2,000,000 to 2,500,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"2,500,000 to 3,000,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"3,000,000 to 4,000,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"4,000,000 to 5,000,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"5,000,000 to 10,000,000",Gippsland,Low,Batch,Minimum,Dec,3.8665,3.1255
"500,000 to 750,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"750,000 to 1,000,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"1,000,000 to 1,500,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"1,500,000 to 2,000,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"2,000,000 to 2,500,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"2,500,000 to 3,000,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"3,000,000 to 4,000,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"4,000,000 to 5,000,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"5,000,000 to 10,000,000",Gippsland,Low,Flat,Minimum,Dec,3.8665,3.1255
"500,000 to 750,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"750,000 to 1,000,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"1,000,000 to 1,500,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"1,500,000 to 2,000,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"2,000,000 to 2,500,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"2,500,000 to 3,000,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"3,000,000 to 4,000,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"4,000,000 to 5,000,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"5,000,000 to 10,000,000",Gippsland,High,Highly seasonal,Minimum,Dec,4.2735,3.4545
"500,000 to 750,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"750,000 to 1,000,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"1,000,000 to 1,500,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"1,500,000 to 2,000,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"2,000,000 to 2,500,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"2,500,000 to 3,000,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"3,000,000 to 4,000,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"4,000,000 to 5,000,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"5,000,000 to 10,000,000",Gippsland,High,Average,Minimum,Dec,4.2735,3.4545
"500,000 to 750,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"750,000 to 1,000,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"1,000,000 to 1,500,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"1,500,000 to 2,000,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"2,000,000 to 2,500,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"2,500,000 to 3,000,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"3,000,000 to 4,000,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"4,000,000 to 5,000,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"5,000,000 to 10,000,000",Gippsland,High,Batch,Minimum,Dec,4.2735,3.4545
"500,000 to 750,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"750,000 to 1,000,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"1,000,000 to 1,500,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"1,500,000 to 2,000,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"2,000,000 to 2,500,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"2,500,000 to 3,000,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"3,000,000 to 4,000,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"4,000,000 to 5,000,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"5,000,000 to 10,000,000",Gippsland,High,Flat,Minimum,Dec,4.2735,3.4545
"500,000 to 750,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Average,Highly seasonal,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Average,Average,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Average,Batch,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Average,Flat,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Low,Highly seasonal,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Low,Average,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Low,Batch,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,Low,Flat,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,High,Highly seasonal,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,High,Average,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,High,Batch,Minimum,Dec,3.9,3.15
"500,000 to 750,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"750,000 to 1,000,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"1,000,000 to 1,500,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"1,500,000 to 2,000,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"2,000,000 to 2,500,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"2,500,000 to 3,000,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"3,000,000 to 4,000,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"4,000,000 to 5,000,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"5,000,000 to 10,000,000",NSW,High,Flat,Minimum,Dec,3.9,3.15
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"3,000,000 to 4,000,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"4,000,000 to 5,000,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"5,000,000 to 10,000,000",Western VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.35
"500,000 to 750,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"750,000 to 1,000,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"1,000,000 to 1,500,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"1,500,000 to 2,000,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"2,000,000 to 2,500,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"2,500,000 to 3,000,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"3,000,000 to 4,000,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"4,000,000 to 5,000,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"5,000,000 to 10,000,000",Western VIC,Average,Average,Announced to date,Dec,4.13,3.35
"500,000 to 750,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"750,000 to 1,000,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"1,000,000 to 1,500,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"1,500,000 to 2,000,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"2,000,000 to 2,500,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"2,500,000 to 3,000,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"3,000,000 to 4,000,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"4,000,000 to 5,000,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"5,000,000 to 10,000,000",Western VIC,Average,Batch,Announced to date,Dec,4.13,3.35
"500,000 to 750,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"750,000 to 1,000,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"1,000,000 to 1,500,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"1,500,000 to 2,000,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"2,000,000 to 2,500,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"2,500,000 to 3,000,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"3,000,000 to 4,000,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"4,000,000 to 5,000,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"5,000,000 to 10,000,000",Western VIC,Average,Flat,Announced to date,Dec,4.13,3.35
"500,000 to 750,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"750,000 to 1,000,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"1,000,000 to 1,500,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"1,500,000 to 2,000,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"2,000,000 to 2,500,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"2,500,000 to 3,000,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"3,000,000 to 4,000,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"4,000,000 to 5,000,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"5,000,000 to 10,000,000",Western VIC,Low,Highly seasonal,Announced to date,Dec,3.9235,3.1825
"500,000 to 750,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"750,000 to 1,000,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"1,000,000 to 1,500,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"1,500,000 to 2,000,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"2,000,000 to 2,500,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"2,500,000 to 3,000,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"3,000,000 to 4,000,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"4,000,000 to 5,000,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"5,000,000 to 10,000,000",Western VIC,Low,Average,Announced to date,Dec,3.9235,3.1825
"500,000 to 750,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"750,000 to 1,000,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Announced to date,Dec,3.9235,3.1825
"500,000 to 750,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"750,000 to 1,000,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Announced to date,Dec,3.9235,3.1825
"500,000 to 750,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"750,000 to 1,000,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"1,000,000 to 1,500,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"1,500,000 to 2,000,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"2,000,000 to 2,500,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"2,500,000 to 3,000,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"3,000,000 to 4,000,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"4,000,000 to 5,000,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"5,000,000 to 10,000,000",Western VIC,High,Highly seasonal,Announced to date,Dec,4.3365,3.5175
"500,000 to 750,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"750,000 to 1,000,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"1,000,000 to 1,500,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"1,500,000 to 2,000,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"2,000,000 to 2,500,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"2,500,000 to 3,000,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"3,000,000 to 4,000,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"4,000,000 to 5,000,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"5,000,000 to 10,000,000",Western VIC,High,Average,Announced to date,Dec,4.3365,3.5175
"500,000 to 750,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"750,000 to 1,000,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"1,000,000 to 1,500,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"1,500,000 to 2,000,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"2,000,000 to 2,500,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"2,500,000 to 3,000,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"3,000,000 to 4,000,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"4,000,000 to 5,000,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"5,000,000 to 10,000,000",Western VIC,High,Batch,Announced to date,Dec,4.3365,3.5175
"500,000 to 750,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"750,000 to 1,000,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"1,000,000 to 1,500,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"1,500,000 to 2,000,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"2,000,000 to 2,500,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"2,500,000 to 3,000,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"3,000,000 to 4,000,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"4,000,000 to 5,000,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"5,000,000 to 10,000,000",Western VIC,High,Flat,Announced to date,Dec,4.3365,3.5175
"500,000 to 750,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"750,000 to 1,000,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"1,000,000 to 1,500,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"1,500,000 to 2,000,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"2,000,000 to 2,500,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"2,500,000 to 3,000,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"3,000,000 to 4,000,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"4,000,000 to 5,000,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"5,000,000 to 10,000,000",Northern VIC,Average,Highly seasonal,Announced to date,Dec,4.13,3.21
"500,000 to 750,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"750,000 to 1,000,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"1,000,000 to 1,500,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"1,500,000 to 2,000,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"2,000,000 to 2,500,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"2,500,000 to 3,000,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"3,000,000 to 4,000,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"4,000,000 to 5,000,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"5,000,000 to 10,000,000",Northern VIC,Average,Average,Announced to date,Dec,4.13,3.21
"500,000 to 750,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"750,000 to 1,000,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"1,000,000 to 1,500,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"1,500,000 to 2,000,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"2,000,000 to 2,500,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"2,500,000 to 3,000,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"3,000,000 to 4,000,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"4,000,000 to 5,000,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"5,000,000 to 10,000,000",Northern VIC,Average,Batch,Announced to date,Dec,4.13,3.21
"500,000 to 750,000",Northern VIC,Average,Flat,Announced to date,Dec,4.13,3.21
"750,000 to 1,000,000",Northern VIC,Average,Flat,Announced to date,Dec,4.13,3.21
"1,000,000 to 1,500,000",Northern VIC,Average,Flat,Announced to date,Dec,4.13,3.21
"1,500,000 to 2,000,000",Northern VIC,Average,Flat,Announced to date,Dec,4.13,3.21
"2,000,000 to 2,500,000",Northern VIC,Average,Flat,Announced to date,Dec,4.13,3.21
